id,figure_or_myth,category,origin_culture,priority,hook
271,freyja acquires brísingamen,norse,norse,10,"Freyja discovers four dwarf smiths — the Brísings — forging an incomparably beautiful gold necklace; they refuse gold as payment, demanding instead that she spend one night with each of them, and she agrees, returning to Asgard wearing Brísingamen."
272,thor visits utgard-loki,norse,norse,10,"Thor attempts to drink a horn dry, lift a cat, and wrestle an old woman in Útgarða-Loki's hall — failing each time; only afterwards does the giant reveal the horn was connected to the ocean, the cat was Jörmungandr itself, and the old woman was old age incarnate."
273,aesir-vanir war and mimir's severed head,norse,norse,10,"After the truce between Aesir and Vanir, the Vanir felt cheated by the hostage exchange and beheaded the wise Mímir, sending his severed head back to Odin; Odin embalmed it and sang spells to restore its speech, consulting it ever after as an oracle of cosmic knowledge."
274,loki as mare — birth of sleipnir,norse,norse,10,"To prevent a giant builder from completing Asgard's walls and winning Freyja, the sun, and the moon, Loki transforms into a mare and seduces the builder's stallion Svadilfari, delaying the work — and later gives birth to Sleipnir, the eight-legged horse Odin rides across the nine realms."
275,gullveig burned — start of the aesir-vanir war,norse,norse,10,"The Aesir impale the Vanir sorceress Gullveig on spears and burn her three times in Odin's hall — and three times she is reborn from the flames; this act of violence against the Vanir goddess sparks the first war in Norse mythology, as described in Völuspá."
276,thor battles hrungnir,norse,norse,10,"Thor duels the stone-headed giant Hrungnir in single combat; Mjölnir shatters Hrungnir's whetstone-weapon and crushes his skull, but a fragment of the whetstone embeds itself in Thor's own forehead — where it remains for the rest of his life, immovable."
277,loki's mouth sewn shut by dwarves,norse,norse,10,"After losing his head-wager with the dwarf Brokkr — who forged Mjölnir better than expected — Loki argues he bet his head, not his neck; Brokkr cannot cut it off, so instead he drives an awl through Loki's lips and sews his mouth shut with a leather cord."
278,völundr the smith — captivity and revenge,norse,norse,10,"The master smith Völundr is captured by King Níðuðr, lamed to prevent escape, and enslaved on an island forge; he takes revenge by killing Níðuðr's two sons and sending their skull-cups to the king, then escapes by donning wings he has secretly forged."
279,odin swallowed by fenrir at ragnarök,norse,norse,10,"At Ragnarök, Odin rides into battle against the unbound wolf Fenrir and is swallowed whole; his son Víðarr immediately avenges him by planting an iron-soled boot on Fenrir's lower jaw and tearing the wolf's mouth apart, killing the beast."
280,thor kills jörmungandr and dies at ragnarök,norse,norse,10,"At Ragnarök, Thor and the World Serpent Jörmungandr meet at last in open battle; Thor kills the serpent with Mjölnir but staggers nine steps before collapsing dead, poisoned by the venom Jörmungandr spews in its death throes."
281,freyr killed by surtr at ragnarök,norse,norse,10,"At Ragnarök, Freyr faces the fire giant Surtr without the self-fighting sword he gave away for Gerðr's love; fighting with a stag's antler instead, he is cut down by Surtr, who then sweeps fire across all the nine realms."
282,thor's duel with jörmungandr at ragnarök — nine steps,norse,norse,10,"At Ragnarök, Thor finally kills the World Serpent Jörmungandr with Mjölnir — but the dying serpent's venom saturates the air around him; Thor takes nine steps back from the corpse before the poison overcomes him and he falls dead, fulfilling a prophecy the Norns wrote at his birth."
283,perun's idol on the kiev hill,slavic,slavic,10,"In 980 CE, Prince Vladimir erected a wooden idol of Perun on a hill outside his Kiev palace — silver-headed with a golden moustache — demanding sacrifices from the people; eight years later, after his conversion to Christianity, he ordered the same idol dragged through the streets by a horse's tail and hurled into the Dnieper River."
284,veles as oath-guarantor in the rus-byzantine treaty,slavic,slavic,10,"In the 971 CE treaty between Sviatoslav of Rus' and the Byzantine emperors, warriors swore on both Perun and Volos the cattle god that oath-breakers would 'become yellow as gold and be cut down by their own weapons' — making Veles a divine enforcer of international law in the Primary Chronicle."
285,mokosh spinning unsecured wool at night,slavic,slavic,10,"The only female deity in Vladimir's 980 Kiev pantheon, Mokosh was also believed to wander homes during Lent, spinning any wool left unblessed by its owner; villagers warned 'Don't leave your linen, or Mokosha will spin it,' and when sheep shed fleece on bushes they said Mokusha had sheared them in the night."
286,vasilisa the beautiful and the skull lantern,slavic,slavic,10,"Sent to fetch fire from Baba Yaga in Afanasyev's collection (Narodnye russkie skazki), Vasilisa survives by using her dying mother's magic doll, which completes Baba Yaga's impossible tasks overnight; when Baba Yaga learns Vasilisa succeeds by 'her mother's blessing,' she hurls her out with a skull whose burning eyes then incinerate the cruel stepmother and stepsisters to ash."
287,ivan tsarevich catches only a firebird feather,slavic,slavic,10,"In Afanasyev's tale 'Tsarevitch Ivan, the Firebird and the Gray Wolf,' Ivan stays awake alone while his brothers sleep and seizes the Firebird in the tsar's orchard — but only one golden feather comes free; that single feather, which lights an entire room by itself, launches the quest that chains three impossible tasks, a Grey Wolf resurrection, and a brothers' betrayal."
288,grey wolf revives ivan tsarevich with living water,slavic,slavic,10,"After Ivan's older brothers murder him and slice his body to pieces to steal the Firebird and Princess Elena, the Grey Wolf finds Ivan's remains, forces a raven to fetch living water and dead water from its mother, sprinkles both over Ivan to knit flesh and restore life, then rides him back to the palace in time to expose the treachery."
289,firebird stealing golden apples of youth,slavic,slavic,10,"In Alexander Afanasyev's collected Russian fairy tales, a Tsar's orchard grows golden apples that grant youth and strength, but each night the luminous Zhar-ptitsa (Firebird) steals them; when the tsar commands his three sons to mount a nightwatch, only the youngest, Ivan, keeps vigil long enough to grasp one blazing feather from the escaping bird."
290,dobrynya nikitich and zmey gorynych at the puchai river,slavic,slavic,10,"In the bylina collected by A.F. Gilferding in 1871, bogatyr Dobrynya defies his mother's warning and bathes in the Puchai River; unarmed when Zmey Gorynych attacks, he grabs a 'hat of the Greek land' and beats the dragon down — but after making a peace pact, the dragon immediately breaks it, flying to Kiev to abduct Zabava Putyatishna, niece of Prince Vladimir."
291,sirin whose song drives men to their deaths,slavic,slavic,10,"Depicted on 10th–12th century Kiev pottery and Gospel-book borders, the Sirin — a paradise bird with the head of a beautiful woman — sang to the saints of future heavenly bliss, but any mortal man who heard her voice forgot everything on earth, followed her in a trance, and died; people could only be saved by shooting cannons or ringing church bells to drown out her song."
292,marzanna effigy burned and drowned at winter's end,slavic,slavic,10,"Across Poland, Slovakia, and the Czech Republic, the end of winter is marked by the making of a straw effigy of Marzanna — the goddess of death and disease — which is paraded through the village, set alight, and then drowned in a river; folk prohibitions warn that whoever stumbles on the walk home, or touches the effigy in the water, risks dying before the next spring."
293,zmey gorynych three-headed fire-breathing dragon of the byliny,slavic,slavic,10,"Attested in the Russian byliny cycle, Zmey Gorynych possesses multiple fire-breathing heads (typically three, sometimes twelve), is associated with a river or mountain lair, and can take human form; his defining characteristic is treachery — after swearing peace with Dobrynya Nikitich, he instantly breaks his oath and flies to Kiev to kidnap Zabava Putyatishna."
294,perun's destruction of his own idol in the dnieper,slavic,slavic,10,"After Vladimir I converted to Christianity in 988, the Primary Chronicle records him ordering Perun's silver-headed idol dragged by horse through Kiev's streets while twelve men beat it with staves — 'not because the wood was sensitive, but to affront the demon' — then cast into the Dnieper; bystanders wept and ran alongside as the current carried the god away."
295,oduduwa descends on a chain to create the earth,yoruba,yoruba,10,"When Obatala drunkenly abandoned his task, Olodumare sent Oduduwa down from the heavens on a golden chain, carrying a snail shell full of sand and a white hen; Oduduwa poured the sand onto the primordial waters and the hen scratched it into the first dry land, establishing Ile-Ife as the center of all creation."
296,eshu's two-colored hat splits two friends,yoruba,yoruba,10,"Eshu walked between two farmers' adjacent fields wearing a hat that was black on one side and white on the other; each man swore the stranger's hat was a different color and came to blows over it, and only when Eshu stood before the king and removed the hat did both men see that neither had lied — and that their lifelong friendship had been shattered by a trick of perspective."
297,oshun lures ogun from the forest with honey and song,yoruba,yoruba,10,"When Ogun retreated into the deep forest and refused all contact, the world ground to a halt without iron; where every other orisha had failed to coax him out, Oshun tied bright scarves around her waist, danced and sang at the forest's edge, poured honey over herself, and placed a drop of sweetness on Ogun's lips until — tasting beauty for the first time in years — he followed her back to the world of the living."
298,shango's lightning charm destroys his own palace,yoruba,yoruba,10,"Shango, fourth king of Oyo, discovered a charm that could call lightning down from heaven, but it worked too well: a bolt struck his own palace, killing his wives and children in the fire; broken and grief-stricken, he hanged himself on an ayán tree, and his followers declared that he had not died but ascended to the sky on a chain, transforming into the orisha of thunder."
299,obatala drunk on palm wine creates humans with disabilities,yoruba,yoruba,10,"While modeling the first clay figures at Ile-Ife, Obatala grew thirsty and drank bowl after bowl of palm wine, then returned to his work in a stupor; the figures he fashioned drunk were born as hunchbacks, albinos, and people with crooked limbs — and when he sobered, he wept with remorse, swore never to drink palm wine again, and became the eternal protector of all those his drunken hands had shaped, the 'eni orisa.'"
300,yemaja's body becomes rivers and the orishas,yoruba,yoruba,10,"When Yemaja fled her son Orungan's assault and collapsed at last from exhaustion, streams of water began to gush from her breasts, inundating the earth and carving out rivers, lakes, and hidden springs — and from her fallen body burst sixteen new orishas including Shango, Ogun, and Olokun, making Yemaja the mother of both all waters and the entire Yoruba pantheon."
301,oya eats shango's fire medicine,yoruba,yoruba,10,"Shango entrusted Oya with the magical medicine that let him breathe fire, asking her to guard it, but Oya consumed the rest of it herself and found she too could spit flames; enraged, Shango pursued her through the heavens while she fled to Olokun and then Olosa for refuge, and their chase became the reason why his thunder and her howling winds have always arrived together in every storm."
302,anansi traps onini the python with a palm branch and vine,yoruba,akan,10,"To win the Sky God Nyame's stories, Anansi needed to capture Onini the great python; he cut a palm branch and gathered vine, then approached Onini pretending to settle a dispute with his wife about whether the python's body was really as long as the branch — and Onini, eager to prove his size, stretched himself alongside it and let Anansi bind him completely with the vine before he understood the trap."
303,anansi traps the mmoboro hornets with a calabash of water,yoruba,akan,10,"To capture the Mmoboro hornets as part of his price to Nyame for the world's stories, Anansi filled a calabash with water, poured some over himself, held a banana leaf over his head, and told the hornets a terrible rainstorm was coming; convinced, the hornets flew into the calabash he offered for shelter, and Anansi corked it shut the moment the last one entered."
304,child sacrifice for tlaloc and the tears that summon rain,aztec,aztec,15,"During the Atlcahualo festival, children chosen as offerings were carried to sacred mountain shrines for Tlaloc; the priests watched their faces carefully on the road, because any tear shed by a child was taken as a favorable sign — each small drop of salt water a promise of the abundant rains the god would soon send down."
305,xipe totec's gladiatorial sacrifice on the temalacatl,aztec,aztec,15,"During Tlacaxipehualiztli, the bravest captive warriors were tethered by rope to a great circular stone — the temalacatl — and handed a feather-edged sword (incapable of cutting) to fight four Jaguar and Eagle warriors armed with obsidian blades; the ritual was designed so the captive could not win, his inevitable defeat feeding Xipe Totec's demand that the earth be renewed through blood."
306,mictlantecuhtli's pit trap and the scattered bones,aztec,aztec,15,"After Quetzalcoatl outwitted the conch-shell test, Mictlantecuhtli ordered his servants the Micteca to dig a concealed pit in the path; a startled quail sent Quetzalcoatl stumbling in, and the sacred bones shattered on the walls of the pit — explaining why humans are born different sizes — before he gathered the broken pieces and carried them to the goddess Cihuacóatl, who ground them with his blood to make the first people."
307,centzon totochtin: the 400 rabbit gods of pulque,aztec,aztec,15,"From Mayahuel's buried remains the maguey plant grew, and from its fermented sap came pulque; the Aztecs named its patron deities the Centzon Totochtin — the 400 Rabbits — children of Mayahuel and the herb-god Patecatl, because a rabbit was said to have discovered the maguey's intoxicating juice by nibbling a leaf, and four hundred was the Nahuatl word for 'innumerable,' meaning drunkenness itself is beyond counting."
308,first sun of jaguar: age of giants destroyed,aztec,aztec,15,"In the Leyenda de los Soles, the first creation was the Sun of Jaguar: the gods made a race of giants who lived in caves but could not till the land, and so at the age's end the gods unleashed jaguars who consumed them all, leaving only darkness where the first people had been."
309,second sun of wind: survivors turned to monkeys,aztec,aztec,15,"The second sun, the Sun of Wind, ended when the gods sent a ferocious gale across the world; most of the people were swept away, but those who clung to trees had their hands fused to the branches, their faces pushed flat, and their bodies reshaped — they became monkeys, the survivors of the second creation preserved in a different form."
310,third sun of fire-rain: survivors become birds,aztec,aztec,15,"The third sun ended in the Leyenda de los Soles with a rain of volcanic fire falling from the sky; the people who tried to outrun it were transformed into birds as they fled, allowing them to survive aloft while the world beneath burned — another creation's remnant repurposed rather than annihilated."
311,fourth sun of water: flood survivors become fish,aztec,aztec,15,"The fourth sun was destroyed by a catastrophic flood in the Leyenda de los Soles; the people who survived the rising waters were changed into fish, sealing the pattern of each age — every creation fails, and its remnant people are transformed into the animals of the next world."
312,tata and nene: the flood survivors become dogs,aztec,aztec,15,"Tata and Nene, an elderly couple, survived the fourth sun's flood inside a hollow cypress tree on Tezcatlipoca's command; when the waters receded they lit a fire and cooked fish, and the smoke rose and disturbed the star-gods Citlallatonac and Citlalicue — enraged, Tezcatlipoca lopped off the couple's heads and reattached them to their backsides, transforming them into the first dogs."
313,tlazolteotl gives birth to the maize god,aztec,aztec,15,"In the Codex Borbonicus, Tlazolteotl is depicted in the squatting posture of birth, delivering the young maize god directly from her body — linking the purification of filth to the cycle of growth and making her not only an eater of sin but a generator of the crop that fed the world."
314,mictecacihuatl and mictlantecuhtli ruling the ninth level,aztec,aztec,15,"At the end of the four-year journey through eight levels of hazard, the dead arrived at Chicunamictlan — the ninth Mictlan — and came before the ruling pair: Mictlantecuhtli, skull-faced lord who feasted on the hands, feet, and hearts of the newly arrived, and his consort Mictecacihuatl beside him, the Lady of the Dead, who oversaw the bones of all those who had passed; the Historia de los mexicanos por sus pinturas records them as placed there at the beginning of creation as joint rulers of all the dead."
315,nuada killed by balor at mag tuired,celtic,celtic,15,"At the climax of the Second Battle of Mag Tuired, Núadu Silverhand — restored king of the Tuatha Dé Danann — fell to Balor's devastating eye before Lugh could intervene, his death requiring Lugh to escape his protective guard and lead the final assault. (Irish Mythological Cycle / Cath Maige Tuired)"
316,donn cuailnge versus finnbennach,celtic,celtic,15,"At the close of the Táin, the Brown Bull of Cooley (Donn Cuailnge), won at such terrible cost, met Finnbennach the White Bull on Connacht's plain and the two fought until Donn Cuailnge dismembered his rival, then ran bellowing across Ireland with Finnbennach's loins on his horns before dying of his wounds. (Irish Ulster Cycle / Táin Bó Cúailnge)"
317,fate of the sons of tuireann,celtic,celtic,15,"To atone for killing Lugh's father Cian, the three sons of Tuireann — Brian, Iuchar, and Iucharba — were set an impossible eric fine of eight impossible tasks; completing them won Lugh his magical spear and hound Failinis, but the brothers' final injury was left unhealed as revenge, and all three died. (Irish Mythological Cycle / Oidheadh Chloinne Tuireann)"
318,conaire mór breaks his geasa,celtic,celtic,15,"King Conaire Mór's sovereignty depended on observing a set of sacred geasa; tricked by supernatural forces and forced by circumstance into violating each taboo in turn — including sheltering enemies and breaking his night-journey restrictions — he arrived at Da Derga's Hostel only to be slaughtered by raiders, dying of thirst in the flames. (Irish Ulster Cycle / Togail Bruidne Da Derga, CELT T301017A)"
319,efnisien and the cauldron of rebirth,celtic,celtic,15,"During the war between Britain and Ireland, the Irish used Brân's magic cauldron to revive their dead warriors overnight; the treacherous Efnisien, who had caused the war, ended it by hiding among the Irish corpses and destroying the cauldron from within, sacrificing himself in the explosion that stopped the cycle of reanimation. (Welsh Mabinogion, Second Branch / Branwen ferch Llyr)"
320,culhwch and olwen,celtic,celtic,15,"Cursed by his stepmother to love only Olwen, daughter of the giant Ysbaddaden, Culhwch appealed to his cousin Arthur; Ysbaddaden agreed to the marriage only if Culhwch completed a list of near-impossible tasks — including shaving the giant with his own tusk — and all were accomplished, after which Ysbaddaden was killed. (Welsh Mabinogion / Culhwch ac Olwen)"
321,manannán mac lir and the land of promise,celtic,celtic,15,"In Cormac's Adventure in the Land of Promise, Manannán mac Lir identifies himself as king of a land where there is neither age nor decay nor sadness; he wore impenetrable armour, bore an invincible sword, and controlled the sea over which he rode in a chariot, providing immortality to the Tuatha Dé through his magical swine. (Irish Mythological Cycle / Echtra Cormaic)"
322,tuatha dé danann arrival in ireland,celtic,celtic,15,"The Tuatha Dé Danann descended from four cities — Falias, Gorias, Murias, and Findias — where they learned occult arts and secret knowledge before landing in Ireland shrouded in mist or on dark clouds; they arrived bearing their four treasures and defeated the Fir Bolg at the First Battle of Mag Tuired. (Irish Mythological Cycle / Lebor Gabála Érenn)"
323,dagda retrieves harp uaithne from fomorians,celtic,celtic,15,"During the Second Battle of Mag Tuired the Fomorians stole the Dagda's harp Úaithne; the Dagda entered their hall and called out its secret names, whereupon the harp leapt from the wall, killing nine men as it flew to his hand, and he played the three sorrowful tunes before escaping. (Irish Mythological Cycle / Cath Maige Tuired, CELT T300010)"
324,étaín swallowed and reborn,celtic,celtic,15,"After seven years drifting on magical winds, the exhausted fly-form of Étaín fell into a golden cup of wine at a feast and was swallowed by Étar's wife, who became pregnant; Étaín was reborn over a thousand years after her original creation, with no memory of Midir or her past. (Irish Mythological Cycle / Tochmarc Étaíne Part 1)"
325,isis nursing the prince in fire,egyptian,egyptian,15,"While serving as nursemaid at the palace of Byblos, Isis tried to grant immortality to the young prince Dictys by burning away his mortal essence in a sacred flame each night; the queen discovered this and screamed in horror, interrupting the ritual — Isis threw off her disguise as a goddess, and the chance for immortality was lost."
326,nut ascending on the celestial cow,egyptian,egyptian,15,"After Ra withdrew from the world following the destruction of mankind, the goddess Nut transformed into a great celestial cow and bore Ra on her back, carrying him up into the newly created heavens; as Nut rose higher, she trembled at the vast emptiness and Shu had to rush beneath her belly to support her — establishing the framework of the sky as we know it (Book of the Heavenly Cow tradition)."
327,set's castration in the contendings,egyptian,egyptian,15,"In the Contendings of Horus and Set (20th Dynasty, c. 1090 BCE), the two gods fought a series of physical contests over 80 years — in one exchange Horus was blinded, but Set was castrated or severely damaged in return; each god was healed by Thoth to ensure the contest remained balanced until the Ennead finally ruled in Horus's favor."
328,thoth and the semen of horus,egyptian,egyptian,15,"In one bizarre episode of the Contendings, Set attempted to sexually dominate Horus to prove his superiority before the tribunal; Horus intercepted Set's semen with his hand and Isis threw it into the Nile, then smeared Horus's own seed on Set's favorite lettuce plant — when Set ate the lettuce, Thoth called out the semen from Set's head in the form of a golden solar disk, exposing the trick before the assembled gods."
329,neith's letter to the ennead,egyptian,egyptian,15,"After decades of deadlock in the heavenly tribunal over the throne of Egypt, the assembled gods sent a letter to Neith — one of the oldest and most powerful goddesses — to ask her judgment; Neith replied swiftly that Horus should be crowned king and that Set should be compensated with the foreign lands and two goddesses, Anat and Astarte, as companions."
330,mehen the coiled serpent protector,egyptian,egyptian,15,"Among the gods aboard Ra's nightly barque, the great serpent Mehen coiled his body protectively around the sun god, forming a living fortress of scales against Apophis and the demons of the Duat — he was one of the few serpent deities venerated rather than feared, his coiling body a symbol that order could battle chaos with chaos's own form."
331,hraf-haf the surly ferryman,egyptian,egyptian,15,"At the shore of Lily Lake in the Field of Reeds, the soul seeking paradise encountered Hraf-haf — 'He Who Looks Behind Him' — the perpetually bad-tempered ferryman who refused passage to unworthy souls; the final test was not combat but courtesy, as the soul had to treat this most unpleasant of gatekeepers with genuine kindness to earn a place across the water."
332,the field of reeds — equal plots,egyptian,egyptian,15,"The Egyptian paradise Aaru (Field of Reeds) was described in Spell 110 of the Book of the Dead as an eternal Egypt of perpetual spring, where crops grew to extraordinary heights — but rich and poor alike were assigned equal plots to cultivate, stripped of earthly rank, working the idealized land as immortal laborers in a democracy of the dead."
333,the seven hathors decreeing fate at birth,egyptian,egyptian,15,"Seven minor goddesses sharing Hathor's attributes — each carrying a red ribbon to bind evil demons — were believed to appear at the moment of every human birth, pronouncing the fate that would govern that life; their decree was absolute and unalterable, and the red ribbons were used in life to ward off the dark forces that might disturb the destiny they had spoken."
334,ra's secret withdrawal after the destruction,egyptian,egyptian,15,"After halting Sekhmet's rampage with the red beer, Ra declared that he was weary of ruling the earth and ascended permanently to the higher heavens on the back of Nut transformed as a celestial cow — leaving Egypt in a fallen state where humans must now maintain Ma'at themselves, no longer cared for directly by their creator god (Book of the Heavenly Cow)."
335,sobek and the phallus of osiris,egyptian,egyptian,15,"When Set scattered Osiris's body parts into the Nile, the phallus was swallowed by an oxyrhynchus fish — and the crocodile god Sobek, who moved through those same waters, became forever associated with this piece of sacred flesh; Egyptians who were killed by crocodiles were considered particularly blessed, believed to share in Osiris's resurrection power through Sobek's appetite."
336,thoth healing and mediating the contendings,egyptian,egyptian,15,"Throughout the 80-year contest between Horus and Set, Thoth intervened as the only impartial mediator — healing Horus's torn eye with magic, healing Set after his castration, and ensuring neither side gained a permanent advantage; it was Thoth who ultimately stood before the scales in the Hall of Two Truths, recording Osiris's verdict and the names of the 42 judges at every soul's judgment."
337,neith creating the world through seven words,egyptian,egyptian,15,"One of Egypt's most ancient goddesses, Neith created the world by speaking seven magical words — her name itself derives from the root word for 'weave,' meaning to make something exist — and in one tradition she caused the primordial waters of Nun to swirl and rise into the ben-ben mound where Ra stood to complete creation, making her the mother of the sun god himself."
338,imsety hapy duamutef qebehsenuef — the four sons guarding organs,egyptian,egyptian,15,"The four sons of Horus — human-headed Imsety (liver, south, protected by Isis), baboon-headed Hapy (lungs, north, protected by Nephthys), jackal-headed Duamutef (stomach, east, protected by Neith), and falcon-headed Qebehsenuef (intestines, west, protected by Serket) — stood guard over the canopic jars containing the mummified organs, each holding a cardinal direction to wrap the deceased in divine protection."
339,ra-osiris merger in the sixth hour of the duat,egyptian,egyptian,15,"At the deepest point of the night — the sixth of twelve hours in the Amduat — the sun god Ra descended into the innermost chamber of the underworld and merged with the mummy of Osiris; Ra became the soul and Osiris the corpse of a single unified deity, and from this union of solar energy and death-power Ra could generate the force needed to be reborn as the morning sun."
340,the book of overthrowing apophis — execration ritual,egyptian,egyptian,15,"Egyptian priests performed nightly execration rituals using The Book of Overthrowing Apophis — they would draw the serpent on papyrus, recite the spells of binding and destruction, then spit on the image, burn it, and stamp on it with the left foot; this magical combat was performed in temple ritual every night to ensure that the corresponding battle in the Duat would end in Ra's victory and sunrise."
341,akhenaten's great hymn to the aten,egyptian,egyptian,15,"Pharaoh Akhenaten declared the Aten — the solar disk whose rays ended in human hands — the sole god of Egypt, abandoned Thebes to build the new city Akhetaten, and composed the Great Hymn to the Aten inscribed in tombs there; the hymn declared that only Akhenaten and Nefertiti could fully comprehend the god, making the pharaoh the sole intermediary between the one god and all humanity."
342,nut swallowing and birthing the stars,egyptian,egyptian,15,"The sky goddess Nut — arched above the earth with her star-studded body — swallowed the decan stars as they set each evening and gave birth to them again as they rose each dawn; Ra himself was swallowed by Nut each sunset and reborn from her each morning, making her simultaneously the mother and devourer of the sun, a cosmic cycle of death and rebirth repeated nightly across her celestial body."
343,apollo and hyacinthus: the jealous west wind,greek,greek,15,"Apollo and the Spartan prince Hyacinthus were practicing discus when Zephyrus — the west wind, also in love with the youth — blew the discus off course and drove it into Hyacinthus's skull. From the blood Apollo caused a purple flower to spring up, its petals marked with the grief-cry 'AI AI.' (Apollodorus, Library 1.3.3; Ovid, Metamorphoses 10)"
344,poseidon courts amphitrite: the dolphin ambassador,greek,greek,15,"When Poseidon sought Amphitrite in marriage she fled to the limits of the Ocean near Atlas. He sent out searchers, and it was the dolphin-daemon Delphin who tracked her, delivered the proposal with such gentle eloquence that she agreed to return and wed the sea-king. In gratitude, Poseidon placed the dolphin's image among the stars as the constellation Delphinus. (Apollodorus, Library 1; theoi.com Amphitrite page)"
345,gigantomachy: enceladus pinned under etna,greek,greek,15,"The Giants, born from Ouranos's blood at the moment of his castration, rose against the Olympians when Gaia urged them on; they hurled whole mountains as weapons. The prophecy said no god could kill them alone — only with a mortal hero. Athena crushed Enceladus beneath the island of Sicily, and every tremor of Etna is his dying breath. (Apollodorus, Library 1.6.1-2)"
346,selene and endymion on mount latmos,greek,greek,15,"The moon-goddess Selene was overcome with love for the shepherd Endymion sleeping on Mount Latmos and descended each night to lie beside him. Zeus offered Endymion any gift he chose; he chose eternal sleep and immortality — and so Selene continued to visit the cave on the mountain every night, bearing him fifty daughters while he slept on, forever young. (Apollodorus; Sappho fr.)"
347,helios and the island of rhodes,greek,greek,15,"When Zeus distributed the earth among the gods, Helios was absent driving his chariot; every land was already claimed. He asked for the island rising at that moment from the sea — not yet above the waves — and Zeus granted it. Rhodes emerged and became the sacred island of the sun, where Helios fathered a dynasty and the Colossus was later raised in his honor. (Pindar, Olympian 7)"
348,nyx: the night that even zeus fears,greek,greek,15,"Nyx, primordial goddess of Night, emerged from Chaos before Gaia and Tartaros; she bore an entire brood of dark powers — Death, Sleep, the Fates, Strife, and Pain — without a father. Even Zeus, king of Olympus, would not trespass into her cave on Erebus; when Hypnos sheltered there after angering Zeus, Zeus did not pursue him rather than offend Night. (Hesiod, Theogony 123-125; Homer, Iliad 14.259)"
349,eros as primordial force at creation,greek,greek,15,"Before the gods, before the Titans, Hesiod's Theogony names only four original powers: Chaos, Gaia, Tartaros — and Eros, the force of desire that unnerves the limbs and overpowers the minds of gods and mortals alike. Without Eros, nothing could procreate; every subsequent divine birth depended on the will of the fourth-born primordial. (Hesiod, Theogony 116-122)"
350,themis: first keeper of the oracle at delphi,greek,greek,15,"Before Apollo, Delphi passed through three divine keepers: Gaia gave it to Themis, who gave it to Phoebe as a birthday gift, and Phoebe in turn gave it to her grandson Apollo for his birth-day. Aeschylus records Themis as the one who first gave mortals oracular law and the rules of right conduct — Apollo inherited an already-ancient institution. (Aeschylus, Eumenides 1-8)"
351,mnemosyne and zeus: the nine nights that made the muses,greek,greek,15,"Zeus lay with the Titan goddess Mnemosyne (Memory) for nine consecutive nights in Pieria, remote from the other gods. Nine months later she bore nine daughters at once — the Muses, who sing the beginnings and ends of all things. Every tale ever told about the gods flows from nine nights between Memory and the king of heaven. (Hesiod, Theogony 53-62; 915-917)"
352,hermes as psychopomp: first appointed guide of souls,greek,greek,15,"When Zeus sent Hermes into the underworld to retrieve Persephone, Hades recognized the trespass but yielded to Zeus's command. From that day Hermes received the permanent office of Psychopompos — Guide of Dead Souls — escorting the newly dead to Charon's ferry and carrying his gold caduceus as the passport between worlds. (Homeric Hymn 2 to Demeter; Homer, Odyssey 24.1-14)"
353,apollo and niobe: fourteen arrows,greek,greek,15,"Queen Niobe of Thebes, proud of her fourteen children, publicly declared herself superior to Leto who had borne only two. Leto's two — Apollo and Artemis — arrived without warning: Apollo's silver arrows killed all seven sons on the hunt, Artemis's arrows killed all seven daughters at home, and Niobe wept until the gods turned her into a cliff-face weeping spring water for eternity. (Ovid, Metamorphoses 6; Apollodorus, Library 3.5.6)"
354,pygmalion and galatea,greek,greek,15,"The Cypriot sculptor Pygmalion carved an ivory woman so perfect he fell in love with his own creation; at Aphrodite's festival he prayed for a bride who resembled the statue, and when he returned home the ivory had turned warm and alive — the woman later called Galatea. (Ovid, Metamorphoses 10)"
355,echo and narcissus,greek,greek,15,"Hera stripped Echo of her voice, leaving her only able to repeat the last words she heard; when she fell in love with Narcissus and he rejected her she wasted away to nothing but sound, while Narcissus himself stared into a pool so transfixed by his own reflection that he too faded and became the flower that bears his name. (Ovid, Metamorphoses 3)"
356,tantalus's punishment,greek,greek,15,"Tantalus served his own son Pelops as a stew at a banquet of the gods to test their omniscience; Zeus condemned him to stand in Tartarus in a pool of water beneath fruit-laden boughs for eternity — the water receded whenever he bent to drink and the branches lifted whenever he reached to eat. (Pindar, Olympian 1; Apollodorus, Epitome 2.1)"
357,lycaon and the feast of human flesh,greek,greek,15,"King Lycaon of Arcadia wanted to test whether the disguised stranger at his table was truly a god, so he served Zeus a dish that included human flesh; Zeus overturned the table in fury and transformed Lycaon into a wolf, howling and slavering, still wearing the same cruel nature he had carried as a man. (Ovid, Metamorphoses 1; Pausanias, Description of Greece 8.2)"
358,ceyx and alcyone,greek,greek,15,"When King Ceyx drowned in a shipwreck, Morpheus appeared to Alcyone in the exact likeness of her dead husband to deliver the news; in grief she threw herself into the sea — the gods transformed them both into halcyon kingfishers, and ever after Alcyone's father Aeolus calmed the winter winds for fourteen 'halcyon days' so she could nest safely on the water. (Ovid, Metamorphoses 11)"
